longname,shortname,year,chapid
"Chezy, A. (1776), Formule pour trouver la vitesse constante que doit avoir (l'eau dans) une rigole ou un canal dont la pente est donnée. Dossier 847 (MS 1915) of the manuscript collection of Ecole des ponts et Chaussées. Reproduced as Appendix IV of Mouret, 1921, pp. 247-251. Cited from Dooge (1987).",Chezy,1776,b6_c2_r21
"Colebrook, C.F. (1938), Turbulent Flow in Pipes with Particular Reference to the Transition Region between the Smooth and Rough Pipe Laws. Journal of Institute of Civil Engineers, London, volume 11, pp. 133-156.",Colebrook,1938,b6_c2_r22
"Colebrook, C.F. and White, C.M. (1937), Experiments with Fluid Friction in Roughened Pipes. Proceedings of the Royal Society, Aug. 1937, volume 161, pp. 367-379.",Colebrook and White,1937,b6_c2_r23
"Conway, P., O'Sullivan, J.J., Lambert M.F. (2013), Stage-discharge prediction in straight compound channels using 3D numerical models, Proceedings of the Institution of Civil Engineers: Water Management, Volume 166, No. 1, January, 3-15.",Conway et al,2013,b6_c2_r24
"Cunge, J.A., Holly, F.M. and Verwey, A. (1980), Practical Aspects of Computational River Hydraulics, Pitman, London (Reprinted by University of Iowa).",Cunge,1980,b6_c2_r25
"Dooge, J.C.I. (1987), Historical development of concepts in open channel flow. Hydraulics and Hydraulic Research, a Historical Review. IAHR, Ed. G. Garbrecht, A.A. Balkema, Netherlands 1987, pp. 205-230.",Dooge,1987,b6_c2_r26
"Elliot, S.C.A. and Sellin, R.H.J. (1990), SERC flood channel facility: skewed flow experiments. IAHR, Journal of Hydraulic Research, Feb. 1990, volume 28, no. 2, pp. 197-214.",Elliot and Sellin,1990,b6_c2_r27
"Elsawy, E.M. and Crory, P.M. (1978), Effects of interaction on a channel with one flood-plain. Int. Conf. on Water Resources Eng., Bangkok, Jan. 1978, pp. 597-608.",Elsawy and Crory,1978,b6_c2_r28
"Ervine, D.A. and Baird, J.I. (1982), Rating curves for rivers with overbank flow. Proc. of the Institution of Civil Engineers, Jun. 1982, Part 2, volume 73, pp. 465-472.",Ervine and Baird,1982,b6_c2_r29
"Ackers, P. (1958), Resistance of Fluids Flowing in Channels and Pipes.Hydraulics Research Paper no. 1, HMSO, London.",Ackers,1958,b6_c2_r3
"Ervine, D.A. and Ellis, J. (1987), Experimental and computational aspects of overbank flood plain flow. Transactions of the Royal Society of Edinburgh: Earth Sciences, 1987, volume 78, pp. 315-325.",Ervine and Ellis,1987,b6_c2_r30
"Fenton, J. (2007), Lecture Notes on Open Channel Hydraulics. pp59, University of Karlsruhe, accessed on the web, 2007, April 2007.",Fenton,2007,b6_c2_r31
"Fukuhara, T. and Murota, A. (1990), Discharge assessment in compound channel with flood plain roughness, Int. Conf. on River Flood Hydraulics, Ed. W.R. White, Wallingford, England, pp. 153-162.",Fukuhara and Murota,1990,b6_c2_r32
"Ganguilett, E. and Kutter, W.R. (1888), Versuch zur Aufstellung einer neuen allegeinen Formel für die gleichförmige Bewegung des Wasser in Canälen und Flüssen (An investigation to establish a new general formula for uniform flow of water in canals and rivers). Zeitschrift des Oesterreichischen Ingenieur und Architeken Vereines, 1869, volume 21, no. 1, pp. 6-25, no. 2-3, pp. 46-59. Published as a book in Bern Switzerland, 1877 as A general Formula for Uniform Flow of water in Rivers and other Canals. New York: John Wiley and Sons. Cited from Chow (1959).",Ganguilett and Kutter,1888,b6_c2_r33
"Ghosh, S.N. and Jena, S.B. (1971), Boundary shear distribution in open channel compound. Proc. of the Institution of Civil Engineers, London, Aug. 1971, Volume 49, no. 7404, pp. 417-430.",Ghosh and Jena,1971,b6_c2_r34
"Greenhill, R.K. (1992), An Investigation into the Mechanisms of Compound Meandering Channel Flow. PhD Thesis, Department of Civil Engineering, University of Bristol, U.K.",Greenhill,1992,b6_c2_r35
"Guglielmini, D. (1697), Della natura del Fiumi. Trattato fisico-matematico. Bologna: New editions in 1739 and 1821. Cited from Dooge (1987).",Guglielmini,1697,b6_c2_r36
"Henderson, F.M. (1966), Open Channel Flow, Macmillan Publishing Co., New York",Henderson,1966,b6_c2_r37
"Holden, A.P. and James, C.S. (1989), Boundary shear distribution on flood plains. IAHR, Journal of Hydraulic Research, Jan. 1989, volume 27, no. 1, pp. 75-89.",Holden and James,1989,b6_c2_r38
"Horton, R.E. (1933), Separate roughness coefficients for channel bottom and sides. Engineering News-Record, Nov. 1933, vol. III, no. 22, pp. 652-653.",Horton,1933,b6_c2_r39
"Ackers, P. (1987), 'Scale Models; Examples of how, why, and when - with some ifs and buts', Proceedings of XXII Congress, International Association for Hydraulic Research, Technical Session B, Lausanne, Switzerland, pp 1-15",Ackers,1987,b6_c2_r4
"Wallingford, H.R. (1992), SERC Flood Channel Facility Experimental Data - Phase A, Report SR 314, Wallingford, United Kingdom, May 1992, Volumes 1 - 14.",Wallingford,1992,b6_c2_r40
"Hydraulics Research Ltd, Wallingford, Thomas Telford, London. (1990), Charts for the Hydraulic Design of Channels and Pipes, sixth edition, 1990. ISBN 0 946466 02 5.",Hydraulics Research Ltd.,1990,b6_c2_r41
"James, C.S. and Wark, J.B. (1992), Conveyance Estimation for Meandering Channels, Report SR329, HR Wallingford, U.K., Dec. 1992.",James and Wark,1992,b6_c2_r42
"James, M. and Brown, R.J. (1977), Geometric parameters that influence flood plain flow. U.S. Army Engineer Waterways Experiment Station, Vicksburg, Miss., Jun. 1977, Research Report H-77-1.",James and Brown,1977,b6_c2_r43
"Jenkins, B. S. (1987), Aspects of Hydraulic Calculations, volume 1 of Australian Rainfall and Runoff, A Guide to Estimation, D. H. Pilgrim (editor-in-chief ), chapter 4, pp. 53-91. The Institution of Engineers, Australia, Barton, ACT, revised edition, 1987. ISBN 085825 434 4.",Jenkins,1987,b6_c2_r44
"Kawahara, Y. and Tamai, N. (1988), Numerical calculation of turbulent flows in compound channels with an algebraic stress turbulence model. Proc. 3rd Int. Symp. on Refined Flow Modelling and Turbulence Measurements, Tokyo, Japan, Jul. 1988, pp. 9-17.",Kawahara and Tamai,1988,b6_c2_r45
"Keller, R.J. and Rodi, W. (1984), Prediction of Two-dimensional Flow Characteristics in Complex Channel Cross-sections. Proc. International Conference on Hydraulic Engineering Software, Portoroz, Yugoslavia, 1984, pp. 3-3 to 3-14",Keller and Rodi,1984,b6_c2_r46
"Keller, R. J. (1984),'Boundary Layer Scale Effects in Hydraulic Model Studies of Discharge Measuring Flumes', in KOBUS, H. (ed),'Symposium on Scale Effects in Modelling Hydraulic Structures', International Association for Hydraulic Research, Esslingen, Germany, 1984, pp 2.10-1 to 2.10-4",Keller,1984,b6_c2_r47
"Keller, R. J. (1984)'Cut-throat Flume Characteristics', Journal of Hydraulic Engineering, American Society of Civil Engineers, volume 110, no. 9, Sept. 1984, pp 1248-1263",Keller,1984,b6_c2_r48
"Keller, R.J., Perera, B.J.C. and Rodi, W. (1988), Prediction of depth averaged flow characteristics in compound channels. Proc. 3rd Int. Symp. on Refined Flow Modelling and Turbulence Measurements, Tokyo, Japan, Jul. 1988, pp. 519-523.",Keller,1988,b6_c2_r49
"Ackers, P. (1991), Hydraulic Design of Straight Compound Channels. Report SR281, HR Wallingford, October 1991 (Volumes 1 and 2).",Ackers,1991,b6_c2_r5
"Keller, R.J. (1998), The Continuing Application of Physical Models to Hydraulic Engineering, Keynote Address to 6th International Conference on Hydraulics in Civil Engineering, Proceedings of HYDRASTORM '98 combining 3rd International Symposium on Stormwater Management and 6th International Conference on Hydraulics in Civil Engineering, Adelaide, Australia, 27-30 September 1998, Institution of Engineers, Australia, pp.11 - 21",Keller,1998,b6_c2_r50
"Keulegan, G.H. (1938), Laws of turbulent flow in open channels. Journal of Research, Nat. Bureau of Standards, Washington D.C., Res. Paper 1151, Jun. 1938, vol. 21, no. 6, pp. 707-741.",Keulegan,1938,b6_c2_r51
"Knight, D.W. and Demetriou, J.D. (1983), Flood plain and main channel flow interaction. Proc. ASCE, Journal of the Hydraulics Division, Aug. 1983, volume 109, no. HY8, pp. 1073-1092.",Knight and Demetriou,1983,b6_c2_r52
"Knight, D.W. and Hamed, M.E. (1984), Boundary shear in symmetrical compound channels. Proc. ASCE, Journal of the Hydraulics Division, Oct. 1984, volume 110, no. HY10, pp. 1412-1430.",Knight and Hamed,1984,b6_c2_r53
"Knight, D.W. and Sellin, R.H.J. (1987), The SERC Flood Channel Facility. J. Inst. Water and Environmental Mgmt, vol. 1, no. 2, Oct. 1987, pp. 198-204.",Knight and Sellin,1987,b6_c2_r54
"Knight, D.W. and Shiono, K. (1990), Turbulence measurements in a shear layer region of a compound channel. IAHR, Journal of Hydraulic Research, Feb. 1990, volume 28, no. 2, pp. 175-196.",Knight and Shiono,1990,b6_c2_r55
"Kobus, H. (1980) (ed.),'Hydraulic Modelling', German Association for Water Resources and Land Improvement, Bonn",Kobus,1980,b6_c2_r56
"Kobus, H. (1984) (ed),'Symposium on Scale Effects in Modelling Hydraulic Structures', International Association for Hydraulic Research, Esslingen, Germany",Kobus,1984,b6_c2_r57
"Lambert, M.F. and Myers, W.R.C. (1998),'Estimating the discharge capacity in compound channels.'Water, Energy and Maritime, Journal of Institution of Civil Engineers, London, volume 130, pp.84-94.",Lambert and Myers,1998,b6_c2_r58
"Lambert, M.F. and Sellin, R.H.J. (1996),'Discharge prediction in compound channels using the mixing length concept.'Journal of Hydraulic Research, International Association of Hydraulic Research, Volume 34(3), pp. 381-394.",Lambert and Sellin,1996,b6_c2_r59
"Ackers, P. (1992), Hydraulic design of two stage channels. Proc. of the Institution of Civil Engineers, Water, Maritime and Energy, Dec. 1992, volulme 96, pp. 247-257.",Ackers,1992,b6_c2_r6
"Lambert, M.F. and Sellin, R.H.J. (1996),'Velocity distribution in a doubly-sinuous compound channel.'Water, Energy and Maritime, Journal of Institution of Civil Engineers, London, Volume 118, March, pp. 10-20.",Lambert and Sellin,1996,b6_c2_r60
"Laurenson, E. M. (1986), Friction slope averaging in backwater calculations. Journal of Hydraulic Engineering, ASCE, 112(12):1151-1163, December 1986. ISSN 0733 9429/86/0012 1151, Paper No. 21083.",Laurenson,1986,b6_c2_r61
"Lawson, J. D. and O'Neill, I. C. (1980), The role of physical and mathematical models in hydraulic engineering, June 1981. ACADS Publication no. U217, Presentation to the Association for Computer Aided Design Limited (ACADS), Water Engineering Technical (WET) Committee, Wednesday 12 November, 1980.",Lawson and O'Neill,1980,b6_c2_r62
"Lee P., Lambert M.F. and Simpson A.R. (2002).'Critical depth prediction in straight compound channels.'Water and Maritime Engineering, Journal of Institution of Civil Engineers, London, Volume 154(4), pp. 317 - 332.",Lee et al,2002,b6_c2_r63
"Leonard, B.P. (1979), A Survey of Finite Differences of Opinion on Numerical Muddling of the Incomprehensible Defective Confusion Equation, In: T.J.R. Hughes (ed.) Finite Element Methods for Convection Dominated Flows, AMSE, New York.",Leonard,1979,b6_c2_r64
"Leonard, B.P. (1979), A Stable and Accurate Convective Modelling Procedure Based on Quadratic Upstream Interpolation, Computer Methods in Applied Mech and Eng., North-Holland.",Leonard,1979,b6_c2_r65
"LeVeque, R.J (2002), Finite Volume Methods for Hyperbolic Problems, Cambridge University Press, Cambridge.",LeVeque,2002,b6_c2_r66
"Lipscomb, E.B. (1956), Hydraulic capacity of Meandering Channels in Straight Floodways, Report T.M. No. 2-2429, Waterways Experiment Station, Vicksburg, Miss, U.S.A.",Lipscomb,1956,b6_c2_r67
"Lotter, G.K. (1933), Soobrazheniia k gidravlicheskomu raschetu rusel s razlichnoli sherokhovatostiiu stenok (Considerations on hydraulic design of channels with different roughness of walls). Izvestiia Vsesoiuznogo Nauchno-Issledovatel skogo Instituta Gidrotekhniki (Trans., All Union Scientific Research, Institute of Hydraulic Engineering, Leningrad), 1933, volume 9, pp. 238-241. Cited from Chow (1959).",Lotter,1933,b6_c2_r68
"Martin, L.A. and Myers, W.R.C. (1991), Measurement of overbank flow in a compound river channel. Proc. of the Institution of Civil Engineers, London, Dec. 1991, Part 2, volume 91, no. 9729, pp. 645-657.",Martin and Myers,1991,b6_c2_r69
"Allen, J. (1968), The life and work of Osborne Reynolds, chapter 1, pages 1-82. Manchester University Press and Barnes and Noble, Inc., Manchester and New York, 1970. Osborne Reynolds and Engineering Science Today, edited by D. M. McDowell and J. D. Jackson, Papers presented at the Osborne Reynolds Centenary Symposium, University of Manchester, September 1968. ISBN 0 7190 0376 8.",Allen,1970,b6_c2_r7
"Martins, R. (1989),'Preface to Recent Advances in Hydraulic Physical Modelling', R. Martens (ed), Kluwer Academic Publishers, Dordrecht, The Netherlands.",Martins,1989,b6_c2_r70
"McBean, E. and Perkins, F. (1975), Numerical errors in water profile computation. Journal of the Hydraulics Division, American Society of Civil Engineers, 101(HY11):1389-1403, November 1975.",McBean and Perkins,1975,b6_c2_r71
"McBean, E. A. and Perkins, F. E. (1970), Error criteria in water surface profile computations. Technical Report 124, Massachusetts Institute of Technology Hydrodynamics Laboratory, Cambridge, Masachusetts, June 1970.",McBean and Perkins,1970,b6_c2_r72
"Moody, L.F. (1944), Friction Factors for Pipe Flow. Trans, ASME, Nov. 1944, Volume 66, pp. 671.",Moody,1944,b6_c2_r73
"Myers, W.R.C. (1978), Momentum transfer in a compound channel. IAHR, Journal of Hydraulic Research, Feb. 1978, volume 16, no. 2, pp. 139-150.",Myers,1978,b6_c2_r74
"Myers, W.R.C. (1984), Frictional resistance in channels with flood plains. Proc. 1st Int. Conf. on Hydraulic Design in Water Resources Engineering: Channels and Channel Control Structures, University of Southampton, U.K., Apr. 1984, pp. 4.73-4.87.",Myers,1984,b6_c2_r75
"Myers, W.R.C. (1991), Influence of geometry on discharge capacity of open channels. Proc. ASCE, Journal of Hydraulic Engineering, May 1991, volume 117, no. 5, pp. 676-680.",Myers,1991,b6_c2_r76
"Myers, W.R.C. (1987). Velocity and discharge in compound channels. Proc. ASCE, Journal of Hydraulic Engineering, Jun. 1987, volume 113, no. 6, pp. 753-766.",Myers,1987,b6_c2_r77
"Myers, W.R.C. and Brennan, E.K. (1990), Flow Resistance in compound channels. IAHR, Journal of Hydraulic Research, Feb. 1990, volume 28, no. 2, pp. 141-155.",Myers and Brennan,1990,b6_c2_r78
"Myers, W.R.C. and Elsawy, E.M. (1975), Boundary shear in channel with flood plain. Proc. ASCE, Journal of the Hydraulics Division, Jul. 1975, Part 2, volume 101, no. HY7, pp. 933-946.",Myers and Elsawy,1975,b6_c2_r79
"Anonymous (1963), Friction Factors in Open Channels. Report of the ASCE Task Force, Journal of Hydraulic Engineering, Mar. 1963, volume 89, no. HY2, pp. 97-143.",Anonymous,1963,b6_c2_r8
"Myers, W.R.C. and Lyness, J.F. (1989), Flow resistance in rivers with flood plains. Final Report on Research Grant GR5/D/45437, University of Ulster.",Myers and Lyness,1989,b6_c2_r80
"Nikuradse, J. (1932), Gesetzmassigkeiten der turbulenten Strömung in glatten Rohren. Ver. Dtsch. Ing. Forschungsh, volume 356.",Nikuradse,1932,b6_c2_r81
"Nikuradse, J. (1933), Strömungsgestze in rauhen Rohren (Laws of Flow in Rough Pipes). Ver. Dtsh. Ing. Forschungsh, volume 361.",Nikuradse,1933,b6_c2_r82
"Novak, P. and Cábelka, J. (1981),'Models in Hydraulic Engineering - Physical Principles and Design Applications', Pitman Publishing Limited, London",Novak and Cabelka,1981,b6_c2_r83
"Nuys, H.I. (1686), Verhandeling het Verdiepen en Versanden der Rivieren. Citied in Brunings, 1789. Cited from Dooge (1987).",Nuys,1686,b6_c2_r84
"Olsen, N.R.B. (2003), 3D CFD Modeling of a Self-Forming Meandering Channel, Journal of Hydraulic Engineering, No. 5, May, pp.366-372, doi:10.1061/(ASCE)0733-9429(2003)129:5(366).",Olsen,2003,b6_c2_r85
"Olsen, N.R.B. (2004), Closure to 'Three-dimensional CFD modeling of self-forming meandering channel', Journal of Hydraulic Engineering, Volume 130, No 8, pp. 838-839, doi:10.1061/(ASCE)0733-9429(2004)130:8(838).",Olsen,2004,b6_c2_r86
"Pasche, E., Rouvé, G. and Evers, P. (1985), Flow in compound channels with extreme flood-plain roughness. Proc. 21st IAHR congress, Melbourne, Australia, Aug. 1985, volume 3, pp. 384-389.",Pasche et al,1985,b6_c2_r87
"Pasche, E., Arnold, U. and Rouvé, G. (1986), A review of overbank flow models. Proc. ASCE Conf. on Advancements in Aerodynamics, Fluid Mechanics and Hydraulics, Minneapolis, Minnesota, Jun. 1986, pp. 1-8.",Pasche et al,1986,b6_c2_r88
